subject,fair_f1_fixed,fair_acc_fixed,fair_f1_val_threshold,fair_acc_val_threshold,val_threshold
2024-12-04-18-49-30_c5c72868-633a-4672-8bdd-3a457f994ddb,0.14054054054054055,0.9207772795216741,0.47619047619047616,0.9397110114598903,0.39759013
2024-12-08-21-41-18_c1291a19-92af-431e-9608-6044389d26b0,0.07531380753138076,0.9036617262423714,0.4563758389261745,0.9293809938971229,0.39525506
2024-12-10-19-42-27_4734a243-b638-4004-aa82-c698f3ef7aba,0.03278688524590164,0.9300395256916996,0.2857142857142857,0.9407114624505929,0.43899414
2025-01-18-13-08-43_449ee30d-3245-47ca-9769-752cf0d2edb7,0.45569620253164556,0.9640468227424749,0.5529411764705883,0.9682274247491639,0.46660298
2025-01-18-22-38-29_37959204-490b-4cd9-b647-94e743071951,0.3076923076923077,0.9632503062474479,0.21686746987951808,0.893834218048183,0.44270846
2025-01-19-18-41-39_c4d73c9a-93b2-4c1b-9f76-492d76f7731d,0.5054945054945055,0.9796931407942239,0.6466165413533834,0.9787906137184116,0.4290085
2025-01-19-19-48-01_c2031779-881c-4c5c-9c6e-b3f4d57601a9,0.46017699115044247,0.9743697478991596,0.5970149253731343,0.9773109243697479,0.4187314
2025-01-28-21-43-21_e4380fee-3c78-4e38-936f-acd60513e279,0.16822429906542055,0.9693209238193726,0.21666666666666667,0.9675973802137194,0.479947
34414785-1f38-4ff1-a709-e3bd0f5e7d42,0.8053691275167785,0.9882733522038011,0.7643979057591623,0.9818034775576223,0.43964347
383ea87a-3396-400b-9497-ee6f9ad7c093,0.7368421052631579,0.9879903923138511,0.8714285714285714,0.9927942353883107,0.4231625
6c516a60-1d5e-4d7c-a1dd-158099033fe7,0.8416289592760181,0.9864235841737781,0.7747035573122529,0.9778898370830101,0.44171098
8bb7b2a8-0d9b-4aaa-ad3a-c15fedb2ad31,0.6211180124223602,0.9755804643714971,0.6294416243654822,0.9707766212970377,0.42253974
8f0ce2c4-d123-4c1c-aac2-61844abfa8ca,0.8059701492537313,0.9861111111111112,0.7787610619469026,0.9821937321937322,0.4441244
Participant_1_Data_4,0.21238938053097345,0.9588153632577511,0.55,0.9583526145303101,0.392313
Participant_3_Data_1,0.4819277108433735,0.9588319770224988,0.4467005076142132,0.9478219243657252,0.46241522
a43187d2-c663-42c5-8da5-750dbb9b72bd,0.847682119205298,0.9898856640281443,0.85,0.9894459102902374,0.43430543
ab0a6b0c-b0f2-4bda-8806-a4e39175f027,0.5609756097560976,0.9853658536585366,0.7014925373134329,0.983739837398374,0.41596195
ebc39e6c-2770-4821-a747-c174a7855b30,0.5471698113207547,0.9805668016194332,0.6233766233766234,0.9765182186234818,0.40077078
ebff48bd-b1c8-44e3-af35-0941b6c405b1,0.2631578947368421,0.9667721518987342,0.5837837837837838,0.9695411392405063,0.43838567
fa94190b-92d3-484c-8133-744b797dfc81,0.6195652173913043,0.9720223820943246,0.36950146627565983,0.9140687450039968,0.4066919
