subject,fair_f1_fixed,fair_acc_fixed,fair_f1_val_threshold,fair_acc_val_threshold,val_threshold
2024-12-04-18-49-30_c5c72868-633a-4672-8bdd-3a457f994ddb,0.9579744192116941,0.9197807673143996,0.9574745630054787,0.918784255107125,0.49259233
2024-12-08-21-41-18_c1291a19-92af-431e-9608-6044389d26b0,0.9472234970169803,0.8997384481255449,0.9472234970169803,0.8997384481255449,0.48797134
2024-12-10-19-42-27_4734a243-b638-4004-aa82-c698f3ef7aba,0.9633121541299446,0.9292490118577075,0.9639048400328137,0.9304347826086956,0.50466454
2025-01-18-13-08-43_449ee30d-3245-47ca-9769-752cf0d2edb7,0.9786223277909739,0.9586120401337793,0.9792117799913382,0.959866220735786,0.54429615
2025-01-18-22-38-29_37959204-490b-4cd9-b647-94e743071951,0.987331256490135,0.9750918742343814,0.9709314661574369,0.944058799510004,0.5457676
2025-01-19-18-41-39_c4d73c9a-93b2-4c1b-9f76-492d76f7731d,0.9887485648679678,0.9778880866425993,0.9896001848856021,0.9796931407942239,0.5587434
2025-01-19-19-48-01_c2031779-881c-4c5c-9c6e-b3f4d57601a9,0.9866494401378122,0.9739495798319328,0.9860124811706478,0.9726890756302521,0.4903715
2025-01-28-21-43-21_e4380fee-3c78-4e38-936f-acd60513e279,0.9861573506220431,0.9727680110306791,0.9850851026495876,0.9706997587038952,0.5128353
34414785-1f38-4ff1-a709-e3bd0f5e7d42,0.993322203672788,0.9870602507076426,0.9939520333680918,0.9882733522038011,0.49434614
383ea87a-3396-400b-9497-ee6f9ad7c093,0.9965056526207605,0.9931945556445156,0.9946808510638298,0.9895916733386709,0.41169444
6c516a60-1d5e-4d7c-a1dd-158099033fe7,0.9914634146341463,0.9837083010085338,0.9914634146341463,0.9837083010085338,0.5049058
8bb7b2a8-0d9b-4aaa-ad3a-c15fedb2ad31,0.9884201819685691,0.977582065652522,0.9875827814569537,0.9759807846277022,0.5275385
8f0ce2c4-d123-4c1c-aac2-61844abfa8ca,0.9916434540389972,0.9839743589743589,0.9918968692449356,0.9843304843304843,0.44270986
Participant_1_Data_4,0.9835046617260339,0.968070337806571,0.9811859966658728,0.963442850532161,0.44229627
Participant_3_Data_1,0.9776230730979613,0.9569171852561034,0.9797430830039525,0.9607467687888942,0.42047074
a43187d2-c663-42c5-8da5-750dbb9b72bd,0.9938733832539143,0.9881266490765171,0.9947715389861332,0.9898856640281443,0.527648
ab0a6b0c-b0f2-4bda-8806-a4e39175f027,0.9919338159255429,0.9841463414634146,0.9913223140495868,0.9829268292682927,0.48072678
ebc39e6c-2770-4821-a747-c174a7855b30,0.990432612312812,0.9813765182186235,0.990432612312812,0.9813765182186235,0.5016719
ebff48bd-b1c8-44e3-af35-0941b6c405b1,0.9856304391823517,0.9719145569620253,0.9860408658709285,0.9727056962025317,0.49316344
fa94190b-92d3-484c-8133-744b797dfc81,0.9892650701899257,0.9792166266986411,0.9909353110836424,0.982414068745004,0.49541277
